date,state,positive,negative,pending,death,total,dateChecked
20200312,TX,23,NA,NA,NA,23,2020-03-12T20:00:00Z
20200312,UT,4,132,NA,NA,136,2020-03-12T20:00:00Z
20200312,VA,17,117,NA,NA,134,2020-03-12T20:00:00Z
20200312,VT,2,97,NA,NA,99,2020-03-12T20:00:00Z
20200312,WA,337,3037,NA,29,3403,2020-03-12T20:00:00Z
20200312,WI,8,84,NA,NA,92,2020-03-12T20:00:00Z
20200312,WV,0,7,1,NA,8,2020-03-12T20:00:00Z
20200312,WY,1,NA,NA,NA,1,2020-03-12T20:00:00Z
20200311,AK,0,46,14,NA,60,2020-03-11T20:00:00Z
20200311,AL,0,10,NA,NA,10,2020-03-11T20:00:00Z
20200311,AR,0,12,14,NA,26,2020-03-11T20:00:00Z
20200311,AZ,9,59,32,NA,100,2020-03-11T20:00:00Z
20200311,CA,157,916,NA,NA,1073,2020-03-11T20:00:00Z
20200311,CO,28,251,NA,NA,279,2020-03-11T20:00:00Z
20200311,CT,3,71,NA,NA,74,2020-03-11T20:00:00Z
20200311,DC,4,20,15,NA,39,2020-03-11T20:00:00Z
20200311,DE,1,17,2,NA,20,2020-03-11T20:00:00Z
20200311,FL,28,301,147,2,476,2020-03-11T20:00:00Z
20200311,GA,22,NA,NA,NA,22,2020-03-11T20:00:00Z
20200311,HI,2,NA,NA,NA,2,2020-03-11T20:00:00Z
20200311,IA,13,46,27,NA,86,2020-03-11T20:00:00Z
20200311,ID,0,67,NA,NA,67,2020-03-11T20:00:00Z
20200311,IL,19,244,63,NA,326,2020-03-11T20:00:00Z
20200311,IN,10,33,NA,NA,43,2020-03-11T20:00:00Z
20200311,KS,1,41,NA,NA,42,2020-03-11T20:00:00Z
20200311,KY,8,46,NA,NA,54,2020-03-11T20:00:00Z
20200311,LA,6,37,NA,NA,43,2020-03-11T20:00:00Z
20200311,MA,92,NA,NA,NA,92,2020-03-11T20:00:00Z
20200311,MD,9,94,NA,NA,103,2020-03-11T20:00:00Z
20200311,ME,0,42,5,NA,47,2020-03-11T20:00:00Z
20200311,MI,2,57,18,NA,77,2020-03-11T20:00:00Z
20200311,MN,5,217,NA,NA,222,2020-03-11T20:00:00Z
20200311,MO,1,NA,NA,NA,1,2020-03-11T20:00:00Z
20200311,MS,0,20,NA,NA,20,2020-03-11T20:00:00Z
20200311,MT,0,21,NA,NA,21,2020-03-11T20:00:00Z
20200311,NC,7,NA,NA,NA,7,2020-03-11T20:00:00Z
20200311,ND,NA,7,6,NA,13,2020-03-11T20:00:00Z
20200311,NE,5,47,16,NA,68,2020-03-11T20:00:00Z
20200311,NH,4,38,5,NA,47,2020-03-11T20:00:00Z
20200311,NJ,24,57,20,1,100,2020-03-11T20:00:00Z
20200311,NM,3,87,NA,NA,90,2020-03-11T20:00:00Z
20200311,NV,5,168,NA,NA,173,2020-03-11T20:00:00Z
20200311,NY,216,NA,NA,NA,216,2020-03-11T20:00:00Z
20200311,OH,4,21,24,NA,49,2020-03-11T20:00:00Z
20200311,OK,2,15,11,NA,28,2020-03-11T20:00:00Z
20200311,OR,19,286,62,NA,367,2020-03-11T20:00:00Z
20200311,PA,15,88,54,NA,157,2020-03-11T20:00:00Z
20200311,RI,5,58,24,NA,87,2020-03-11T20:00:00Z
20200311,SC,9,32,NA,NA,41,2020-03-11T20:00:00Z
20200311,SD,5,13,2,NA,20,2020-03-11T20:00:00Z
20200311,TN,7,50,NA,NA,57,2020-03-11T20:00:00Z
20200311,TX,21,NA,NA,NA,21,2020-03-11T20:00:00Z
20200311,UT,2,NA,NA,NA,2,2020-03-11T20:00:00Z
20200311,VA,9,60,NA,NA,69,2020-03-11T20:00:00Z
20200311,VT,1,62,NA,NA,63,2020-03-11T20:00:00Z
20200311,WA,267,2175,NA,24,2466,2020-03-11T20:00:00Z
20200311,WI,3,43,NA,NA,46,2020-03-11T20:00:00Z
20200311,WV,NA,3,2,NA,5,2020-03-11T20:00:00Z
20200311,WY,0,NA,NA,NA,0,2020-03-11T20:00:00Z
20200310,AK,0,23,9,NA,32,2020-03-10T20:00:00Z
20200310,AL,0,0,0,NA,0,2020-03-10T20:00:00Z
20200310,AR,0,12,3,NA,15,2020-03-10T20:00:00Z
20200310,AZ,6,51,27,NA,84,2020-03-10T20:00:00Z
20200310,CA,133,690,NA,NA,823,2020-03-10T20:00:00Z
20200310,CO,12,142,1,NA,155,2020-03-10T20:00:00Z
20200310,CT,2,54,NA,NA,56,2020-03-10T20:00:00Z
20200310,DC,5,17,2,NA,24,2020-03-10T20:00:00Z
20200310,DE,0,17,3,NA,20,2020-03-10T20:00:00Z
20200310,FL,19,222,155,NA,396,2020-03-10T20:00:00Z
20200310,GA,17,NA,NA,NA,17,2020-03-10T20:00:00Z
20200310,HI,2,NA,NA,NA,2,2020-03-10T20:00:00Z
20200310,IA,8,32,11,NA,51,2020-03-10T20:00:00Z
20200310,ID,0,41,NA,NA,41,2020-03-10T20:00:00Z
20200310,IL,19,244,63,NA,326,2020-03-10T20:00:00Z
20200310,IN,6,30,NA,NA,36,2020-03-10T20:00:00Z
20200310,KS,1,17,21,NA,39,2020-03-10T20:00:00Z
20200310,KY,6,28,NA,NA,34,2020-03-10T20:00:00Z
20200310,LA,1,11,NA,NA,12,2020-03-10T20:00:00Z
20200310,MA,92,NA,NA,NA,NA,2020-03-10T20:00:00Z
20200310,MD,6,89,NA,NA,95,2020-03-10T20:00:00Z
20200310,ME,0,20,5,NA,25,2020-03-10T20:00:00Z
20200310,MI,0,39,24,NA,63,2020-03-10T20:00:00Z
20200310,MN,3,132,NA,NA,135,2020-03-10T20:00:00Z
20200310,MO,1,NA,NA,NA,1,2020-03-10T20:00:00Z
20200310,MS,0,NA,NA,NA,0,2020-03-10T20:00:00Z
20200310,MT,0,15,NA,NA,15,2020-03-10T20:00:00Z
20200310,NC,7,NA,NA,NA,7,2020-03-10T20:00:00Z
20200310,ND,0,6,2,NA,8,2020-03-10T20:00:00Z
20200310,NE,3,47,16,NA,66,2020-03-10T20:00:00Z
20200310,NH,4,38,5,NA,47,2020-03-10T20:00:00Z
20200310,NJ,15,44,20,NA,79,2020-03-10T20:00:00Z
20200310,NM,0,69,NA,NA,69,2020-03-10T20:00:00Z
20200310,NV,0,14,NA,NA,14,2020-03-10T20:00:00Z
20200310,NY,173,92,NA,NA,265,2020-03-10T20:00:00Z
20200310,OH,3,14,15,NA,32,2020-03-10T20:00:00Z
20200310,OK,2,15,11,NA,28,2020-03-10T20:00:00Z
